code,name,market,sector,theme
1301,極洋,Prime,水産・農林業,内需・ディフェンシブ
1332,ニッスイ,Prime,水産・農林業,内需・ディフェンシブ
1333,Ｕｍｉｏｓ,Prime,水産・農林業,内需・ディフェンシブ
1375,ユキグニファクトリー,Prime,水産・農林業,内需・ディフェンシブ
1376,カネコ種苗,Standard,水産・農林業,内需・ディフェンシブ
1377,サカタのタネ,Prime,水産・農林業,内需・ディフェンシブ
1379,ホクト,Prime,水産・農林業,内需・ディフェンシブ
1380,秋川牧園,Standard,水産・農林業,内需・ディフェンシブ
1381,アクシーズ,Standard,水産・農林業,内需・ディフェンシブ
1382,ホーブ,Standard,水産・農林業,内需・ディフェンシブ
1383,ベルグアース,Standard,水産・農林業,内需・ディフェンシブ
1384,ホクリヨウ,Standard,水産・農林業,内需・ディフェンシブ
1401,エムビーエス,Growth,建設業,内需・ディフェンシブ
1407,ウエストホールディングス,Standard,建設業,内需・ディフェンシブ
1414,ショーボンドホールディングス,Prime,建設業,内需・ディフェンシブ
1417,ミライト・ワン,Prime,建設業,内需・ディフェンシブ
1418,インターライフホールディングス,Standard,建設業,内需・ディフェンシブ
1419,タマホーム,Prime,建設業,内需・ディフェンシブ
1420,サンヨーホームズ,Standard,建設業,内需・ディフェンシブ
1429,日本アクア,Prime,建設業,内需・ディフェンシブ
1430,ファーストコーポレーション,Standard,建設業,内需・ディフェンシブ
1431,Ｌｉｂ　Ｗｏｒｋ,Growth,建設業,内需・ディフェンシブ
1432,動力,PRO,建設業,内需・ディフェンシブ
1433,ベステラ,Prime,建設業,内需・ディフェンシブ
1434,ＪＥＳＣＯホールディングス,Standard,建設業,内需・ディフェンシブ
1435,ｒｏｂｏｔ　ｈｏｍｅ,Standard,不動産業,内需・ディフェンシブ
1436,グリーンエナジー＆カンパニー,Growth,建設業,内需・ディフェンシブ
1438,岐阜造園,Standard,建設業,内需・ディフェンシブ
1443,技研ホールディングス,Standard,建設業,内需・ディフェンシブ
1444,ニッソウ,Growth,建設業,内需・ディフェンシブ
1445,ひかりホールディングス,PRO,建設業,内需・ディフェンシブ
1446,キャンディル,Standard,建設業,内需・ディフェンシブ
1447,ＳＡＡＦホールディングス,Growth,建設業,内需・ディフェンシブ
1450,ＴＡＮＡＫＥＮ,Standard,建設業,内需・ディフェンシブ
1452,横浜ライト工業,PRO,建設業,内需・ディフェンシブ
1491,中外鉱業,Standard,非鉄金属,内需・ディフェンシブ
1514,住石ホールディングス,Standard,鉱業,内需・ディフェンシブ
1515,日鉄鉱業,Prime,鉱業,内需・ディフェンシブ
1518,三井松島ホールディングス,Prime,その他製品,ゲーム・エンタメ
1605,ＩＮＰＥＸ,Prime,鉱業,内需・ディフェンシブ
1662,石油資源開発,Prime,鉱業,内需・ディフェンシブ
1663,Ｋ＆Ｏエナジーグループ,Prime,鉱業,内需・ディフェンシブ
1711,ＳＤＳホールディングス,Standard,建設業,内需・ディフェンシブ
1716,第一カッター興業,Standard,建設業,内需・ディフェンシブ
1717,明豊ファシリティワークス,Standard,サービス業,サービス
1718,美樹工業,Standard,建設業,内需・ディフェンシブ
1719,安藤・間,Prime,建設業,内需・ディフェンシブ
1720,東急建設,Prime,建設業,内需・ディフェンシブ
1721,コムシスホールディングス,Prime,建設業,内需・ディフェンシブ
1723,日本電技,Standard,建設業,内需・ディフェンシブ
1724,シンクレイヤ,Standard,建設業,内需・ディフェンシブ
1726,ビーアールホールディングス,Prime,建設業,内需・ディフェンシブ
1736,オーテック,Standard,建設業,内需・ディフェンシブ
1758,太洋基礎工業,Standard,建設業,内需・ディフェンシブ
1762,高松コンストラクショングループ,Prime,建設業,内需・ディフェンシブ
1764,工藤建設,Standard,建設業,内需・ディフェンシブ
1766,東建コーポレーション,Prime,建設業,内需・ディフェンシブ
1768,ソネック,Standard,建設業,内需・ディフェンシブ
1770,藤田エンジニアリング,Standard,建設業,内需・ディフェンシブ
1776,三井住建道路,Standard,建設業,内需・ディフェンシブ
1780,ヤマウラ,Prime,建設業,内需・ディフェンシブ
1783,ｆａｎｔａｓｉｓｔａ,Standard,不動産業,内需・ディフェンシブ
1786,オリエンタル白石,Prime,建設業,内需・ディフェンシブ
1787,ナカボーテック,Standard,建設業,内需・ディフェンシブ
1788,三東工業社,Standard,建設業,内需・ディフェンシブ
1793,大本組,Standard,建設業,内需・ディフェンシブ
1795,マサル,Standard,建設業,内需・ディフェンシブ
1798,守谷商会,Standard,建設業,内需・ディフェンシブ
1799,第一建設工業,Standard,建設業,内需・ディフェンシブ
1801,大成建設,Prime,建設業,内需・ディフェンシブ
